State,program,.,letter,digit,[,],var,;,,:,Integer,Boolean,begin,end,:=,read,write,while_statement,if,then,else,while,do,+,-,*,TRUE,FALSE,>,>=,=,<=,<,$,PR,identifier,indentifier',identifier',block,var_declaration_section,var_declaration_section',var_declaration,type,compound_statement,compound_statement',compound_statement-,statement,simple_statement,assignment_statement,read_statement,write_statement,structured_statement,if_statement,while_statemnet,expression,arithmetic_expression,term,factor,literal,integer_literal,boolean_literal,boolean_expression
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
3,,,s7,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
4,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
6,,r1,r1,,r1,r1,,r1,,r1,,,,,r1,,,,,r1,,,r1,r1,r1,r1,,,r1,r1,r1,r1,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,r4,r4,,r4,r4,,r4,,r4,,,,,r4,,,,,r4,,,r4,r4,r4,r4,,,r4,r4,r4,r4,r4,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
8,,r4,r4,,r4,r4,,r4,,r4,,,,,r4,,,,,r4,,,r4,r4,r4,r4,,,r4,r4,r4,r4,r4,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,s3,,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,15,,,,,,,,,,,,,,,,,,,,
12,,r2,r2,,r2,r2,,r2,,r2,,,,,r2,,,,,r2,,,r2,r2,r2,r2,,,r2,r2,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,r3,r3,,r3,r3,,r3,,r3,,,,,r3,,,,,r3,,,r3,r3,r3,r3,,,r3,r3,r3,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,
15,,,,,,,,s21,s22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,
16,,,s3,,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,23,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,s25,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,
18,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,s3,,,,,,,,,,s19,,,s37,s38,s34,s39,,,,,,,,,,,,,,,,,36,,,,,,,,35,,,27,28,30,31,32,29,33,,,,,,,,,
20,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,s3,,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,40,,,,,,,,,,,,,,,,,,,,
22,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,r10,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,r11,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,r12,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,r13,,,r13,r13,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,r16,,,r16,r16,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,r17,,,r17,r17,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,r18,,,r18,r18,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,r19,,,r19,r19,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,r20,,,r20,r20,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
